Time,X,Y,Attention
11.92588600190735,490,271,0
12.017886009536744,488,272,0
12.11688598664856,484,262,0
12.213193847412109,484,266,0
12.319194032424926,488,261,0
12.418194009536743,470,273,0
12.51686318310547,463,276,0
12.613863066757203,478,288,0
12.711799062942506,483,274,0
12.824798979019166,487,267,0
12.915799059127808,487,237,2
13.025529858856201,492,246,0
13.117529866485595,503,233,0
13.213530061035156,709,166,2
13.317040129699707,738,149,2
13.416040106811524,756,139,2
13.524836032424927,769,158,0
13.617835967575074,691,175,2
13.711836068664551,613,174,2
13.818954127792358,516,216,2
13.91495408392334,498,241,2
14.013954061035156,468,338,2
14.111534015258789,452,366,2
14.21953381689453,477,425,2
14.324533835968017,500,450,2
14.412137935150147,505,465,2
14.513138005722046,490,463,0
14.615714106811524,483,466,0
14.711714062942505,521,444,2
14.813714061035157,562,379,2
14.932441996185302,571,299,2
15.018441961853027,569,229,2
15.111442135421752,510,190,2
15.22362902861023,493,178,2
15.317628891281128,478,183,0
15.412128032424926,470,187,0
15.512127937057494,447,203,2
15.612128080108642,433,215,0
15.71147601525879,426,247,2
15.811475919891357,425,266,2
15.912475990463257,408,294,2
16.01731215258789,402,304,2
16.11231218119812,434,382,2
16.2201441373291,457,485,2
16.313144072479247,466,511,2
16.41114412207031,471,526,2
16.51152301525879,463,530,0
16.622523076293945,475,518,0
16.72152305340576,476,510,0
16.813967965667725,493,482,2
16.91196801525879,513,471,2
17.012882228881836,511,457,0
17.12288212397766,640,359,2
17.215882059127807,677,312,2
17.32240601525879,684,276,2
17.4124059294281,623,282,2
17.513406,578,338,2
17.62280502861023,569,346,2
17.71180501525879,497,252,2
17.81246412588501,465,216,2
17.916463979019166,386,177,2
18.011464007629396,366,159,2
18.119979108718873,326,125,2
18.21297904386902,276,105,2
18.310979093460084,263,120,2
18.415412059127807,325,180,2
18.511412015258788,391,198,2
18.611316824523925,424,201,2
18.727317,472,209,2
18.815316820709228,556,232,2
18.91373001335144,633,213,2
19.013730156402588,591,218,2
19.11673008201599,513,221,2
19.21408305722046,511,237,2
19.31608305531311,492,245,0
19.414083104904176,478,237,0
19.521445935150147,470,247,0
19.61844605722046,469,237,0
19.71265595994568,475,236,0
19.813656030517578,480,236,0
19.912656007629394,478,232,0
20.01508694087219,487,223,0
20.11608701144409,498,205,0
20.212086967575072,501,213,0
20.317632057220457,525,257,2
20.411632158309935,563,264,2
20.511632062942503,667,272,2
20.612096080108643,697,274,2
20.71209598474121,715,270,0
20.81460201335144,690,276,0
20.912602062942504,669,261,2
21.01160204005432,623,303,2
21.114620036239625,594,312,2
21.219619816894532,555,271,2
21.311619824523927,487,305,2
21.41338202861023,455,314,2
21.513382171661377,378,364,2
21.611375992370604,346,358,2
21.724375908447264,321,353,2
21.818376009536742,313,291,2
21.921464005722047,351,266,2
22.014463940872194,368,265,2
22.115464011444093,371,247,2
22.212967038146974,372,247,0
22.315967202178957,376,250,0
22.413359908447266,396,301,2
22.519359855041504,406,326,2
22.61335995613098,395,334,0
22.722388005722046,394,333,0
22.811387992370605,413,290,2
22.924388146865844,422,296,2
23.01171887220764,439,292,0
23.122718933242798,471,254,2
23.2204561373291,484,259,2
23.314456,483,268,0
23.42245604005432,464,235,0
23.516586963760375,474,229,2
23.625586931335448,465,236,0
23.718586866485595,468,227,0
23.812915038146972,459,234,0
23.92391486076355,458,243,0
24.011847062942504,454,227,0
24.125847144958495,443,199,2
24.21884708010864,449,204,0
24.311548931335448,462,203,0
24.41954897138977,464,251,2
24.512549144958495,465,243,2
24.613775965667724,459,243,0
24.714776036239623,455,245,0
24.813173990463255,459,262,0
24.919173937057494,451,246,0
25.014173965667723,451,305,2
25.12218510871887,453,312,2
25.2171851373291,464,291,0
25.311185,463,283,0
25.418617080108643,450,276,0
25.51261718119812,451,273,0
25.622270980926512,433,280,0
25.71727100953674,429,288,2
25.826270977111815,429,291,0
25.91974405531311,434,291,0
26.011744062942505,444,333,2
26.11074404005432,446,329,0
26.21319097520447,449,291,2
26.323191108718873,449,279,2
26.41641201144409,449,279,0
26.514412061035156,458,292,0
26.61841215258789,459,330,2
26.71219391989136,453,319,0
26.82019395994568,454,285,2
26.91619391607666,476,262,2
27.016683965667724,455,275,0
27.11468401525879,501,288,0
27.223294980926514,560,322,2
27.314295061035157,565,295,0
27.413295038146973,523,285,2
27.52424593133545,509,278,2
27.616245938964845,495,271,0
27.716245843597413,492,269,0
27.810911087738038,477,318,2
27.911911158309938,469,325,2
28.016911177383424,450,321,0
28.114227007629395,445,338,0
28.221226881744386,444,357,2
28.314659940872193,444,366,0
28.410660135421754,451,398,2
28.516660082015992,460,380,0
28.61321394277954,470,364,0
28.71921388937378,534,314,2
28.812213824523926,656,207,2
28.911549028610228,691,157,2
29.017548975204466,671,143,2
29.112492085830688,598,136,2
29.213492156402587,551,145,2
29.314491988555908,536,145,2
29.42417086076355,526,155,0
29.517171034332275,513,185,2
29.611170897003174,481,215,2
29.711604110626222,461,228,2
29.813604108718874,450,236,2
29.91052305340576,437,221,0
30.01552283406067,430,220,0
30.11152302861023,418,233,0
30.216446202178954,423,227,0
30.310446064849852,440,240,0
30.410446207901,440,272,2
30.51248303814697,425,311,2
30.620482839782714,389,292,2
30.710603022888183,391,285,2
30.824602866485595,398,268,0
30.91660287411499,431,288,2
31.02459302670288,431,292,2
31.11859312779236,429,273,0
31.211593062942505,437,268,0
31.311923872207643,448,259,0
31.41092408773804,442,249,0
31.52041212588501,440,227,0
31.627412,454,212,0
31.720411935150146,480,202,2
31.814124003814698,486,201,2
31.913123980926514,498,178,0
32.015123979019165,499,171,2
32.119500080108644,496,171,0
32.21450010871887,501,175,0
32.31121006294251,501,179,0
32.41321006103516,493,181,0
32.52121010108948,421,194,2
32.6140910038147,395,191,2
32.72209104386902,358,194,2
32.81509097901917,361,189,0
32.92173310108948,360,177,0
33.01273318119812,365,208,2
33.11348099046326,412,246,2
33.224481051498415,429,242,2
33.31448096566773,441,267,0
33.41416101335144,433,253,0
33.52116112588501,438,251,0
33.615161226974486,446,273,0
33.71136689128113,451,282,0
33.81336688937378,460,276,0
33.91132613542175,463,247,0
34.01632591607666,464,249,2
34.11232611062622,462,252,0
34.212349847412106,458,259,0
34.31134982452392,453,265,0
34.41035004005432,454,251,0
34.51781606866455,559,249,2
34.61281609727478,792,208,2
34.71763493896484,764,254,2
34.81163480163574,644,274,2
34.91163494468689,525,292,2
35.013290013351444,500,308,2
35.11828979400635,477,305,0
35.22328981307984,478,297,0
35.31063008773804,463,273,2
35.41263008583069,463,272,0
35.51363015640259,462,264,0
35.61951201907349,475,241,2
35.7165121411438,468,244,0
35.821967910354616,464,248,0
35.92096812588501,463,279,2
36.01096804005432,453,280,0
36.11850881880188,439,291,0
36.212508919891356,433,327,2
36.312508824523924,441,346,2
36.412431977111815,447,345,0
36.512431881744384,458,300,2
36.61060299237061,468,301,2
36.71760310490418,470,319,0
36.810603040054325,457,321,2
36.92113600572205,454,312,2
37.014135940872194,447,263,2
37.11313591798401,503,249,2
37.21164794468689,527,268,2
37.31264801525879,556,327,2
37.4214501373291,590,347,2
37.51445007247925,582,347,0
37.62145018501282,531,344,2
37.71431010871887,523,376,2
37.82130998283386,505,403,2
37.91831010490417,523,427,0
38.02301602861023,528,454,2
38.11401587030029,499,446,2
38.212598971389774,495,447,2
38.31859915640259,492,439,0
38.41159909155274,472,404,2
38.522488005722046,453,376,2
38.611487992370606,444,368,2
38.724487908447266,450,360,0
38.81852908010864,473,345,2
38.91252894277954,576,256,2
39.02147405340576,923,85,2
39.11647408201599,885,77,2
39.225474049591064,746,105,2
39.3208160038147,679,150,2
39.414816104904176,621,200,2
39.524816,597,229,2
39.61244918119812,424,288,2
39.71244908583069,362,304,2
39.824581866485595,308,377,2
39.91858196757507,302,360,2
40.01058197520447,333,366,0
40.11993005531311,350,368,2
40.21393015640259,376,365,2
40.32293012397766,432,381,2
40.416429891281126,459,400,2
40.51943005531311,457,420,2
40.618430032424925,455,433,0
40.71382720408631,462,430,0
40.82282717166138,475,418,0
40.915612898910524,488,397,2
41.011612855041506,480,380,0
41.11661287411499,469,390,0
41.226202881744385,488,379,0
41.315202868392944,489,379,2
41.41520301144409,504,382,0
41.524303122070314,534,399,2
41.61730305722046,540,405,2
41.72095195040894,548,439,2
41.818952,555,413,0
41.9129518626709,548,412,0
42.02328109918213,548,430,0
42.11728096185303,557,419,0
42.22528100190735,501,414,2
42.318549080108646,477,423,2
42.41154901525879,477,400,0
42.51617401144409,473,382,2
42.613174133514406,474,376,2
42.719174080108644,469,306,2
42.81378598283386,462,160,2
